participation_id,date,zone_id,race,sexe,categorie,note_participation,concours_id,lieu_id,type_concours
P000496,2025-10-10,96644757B24539393832458,Anglo-Arabe,F,Loisir,80.07,C0130,L0001,Regional
P000497,2025-05-01,96644757B15248572972708,Arabe,M,Senior,65.22,C0010,L0029,National
P000498,2025-04-09,96644757B6720908192283,Barbe,Male,Junior,78.09,C0477,L0070,National
P000499,2025-06-14,96644757B41522516415054,Pur-Sang Arabe,Female,Senior,65.33,C0013,L0040,Qualification
P000500,2025-12-20,96644757B88930410593624,Barbe,F,Senior,80.52,C0398,L0068,Regional
P000501,2025-07-27,96644757B35891480133263,Barbe,F,Elite,92.16,C0256,L0008,National
P000502,2025-05-21,96644757B26550498921337,Pur-Sang Arabe,M,Senior,70.16,C0291,L0007,Regional
P000503,2025-06-18,96644757B83322507681707,Anglo-Arabe,Male,Junior,49.56,C0405,L0063,Qualification
P000504,2025-04-17,96644757B48127384361052,Barbe,F,Loisir,65.47,C0447,L0009,National
P000505,2025-08-29,96644757B12662883146655,Arabe-Barbe,Female,Senior,86.14,C0064,L0004,Regional
P000506,2025-05-08,96644757B52167870329218,Barbe,Female,Junior,82.96,C0009,L0031,Qualification
P000507,2025-07-22,96644757B6720908192283,Anglo-Arabe,Femelle,Elite,72.92,C0063,L0070,Regional
P000508,2025-05-15,96644757B21390270390615,Arabe,M,Elite,82.98,C0341,L0052,Regional
P000509,2025-04-28,96644757B35891480133263,Pur-Sang Arabe,Male,Elite,74.9,C0284,L0008,Regional
P000510,2025-12-21,96644757B83322507681707,Barbe,Femelle,Senior,83.67,C0042,L0063,Regional
P000511,2025-05-07,96644757B90795389022281,Barbe,F,Senior,81.95,C0117,L0064,Qualification
P000512,2025-01-26,96644757B64717664824106,Barbe,Femelle,Senior,81.17,C0269,L0061,National
P000513,2025-05-19,96644757B88930410593624,Arabe-Barbe,Femelle,Junior,73.2,C0365,L0068,National
P000514,2025-07-14,96644757B89687162507810,Arabe,M,Senior,77.18,C0172,L0018,Qualification
P000515,2025-02-04,96644757B5863178934624,Arabe,Female,Loisir,69.42,C0474,L0074,National
P000516,2025-04-22,96644757B25874170222857,Barbe,F,Elite,63.7,C0496,L0025,Regional
P000517,2025-03-02,96644757B64717664824106,Barbe,Femelle,Senior,83.02,C0383,L0061,Regional
P000518,2025-07-02,96644757B53936679900609,Arabe-Barbe,M,Junior,73.86,C0227,L0044,Regional
P000519,2025-09-21,96644757B4563753155162,Barbe,Female,Elite,76.45,C0438,L0059,Qualification
P000520,2025-12-20,96644757B62254917052717,Pur-Sang Arabe,Female,Senior,72.91,C0364,L0048,Qualification
P000521,2025-05-23,96644757B81090244987905,Anglo-Arabe,Femelle,Junior,67.17,C0260,L0049,National
P000522,2025-11-12,96644757B40957387644980,Arabe-Barbe,Femelle,Junior,73.72,C0222,L0047,Regional
P000523,2025-03-20,96644757B4563753155162,Anglo-Arabe,F,Elite,82.76,C0416,L0059,Regional
P000524,2025-10-12,96644757B71822601453569,Pur-Sang Arabe,F,Elite,74.64,C0278,L0056,Qualification
P000525,2025-07-25,96644757B54259280648674,Anglo-Arabe,F,Junior,56.52,C0092,L0011,Regional
P000526,2025-10-04,96644757B84561517472973,Barbe,M,Junior,67.84,C0499,L0062,National
P000527,2025-10-03,96644757B2759448404756,Arabe-Barbe,F,Elite,91.05,C0035,L0041,Regional
P000528,2025-07-14,96644757B25874170222857,Barbe,Female,Senior,67.58,C0347,L0025,Regional
P000529,2025-04-04,96644757B89345886069248,Arabe,Male,Elite,50.52,C0328,L0039,National
P000530,2025-07-12,96644757B26045285741175,Barbe,M,Junior,87.17,C0293,L0073,Qualification
P000531,2025-10-29,96644757B60043813814440,Arabe-Barbe,Female,Elite,79.96,C0026,L0065,National
P000532,2025-12-21,96644757B83322507681707,Barbe,F,Loisir,70.79,C0246,L0063,Regional
P000533,2025-12-05,96644757B63187791317705,Pur-Sang Arabe,Female,Elite,69.13,C0446,L0035,Regional
P000534,2025-03-08,96644757B4563753155162,Anglo-Arabe,Male,Junior,79.23,C0120,L0059,Qualification
P000535,2025-08-07,96644757B15248572972708,Barbe,Femelle,Elite,66.82,C0346,L0029,National
P000536,2025-02-08,96644757B21390270390615,Arabe-Barbe,Male,Senior,84.38,C0429,L0052,Regional
P000537,2025-09-02,96644757B62254917052717,Barbe,M,Junior,77.09,C0476,L0048,National
P000538,2025-12-29,96644757B85287588144355,Anglo-Arabe,Femelle,Senior,76.08,C0258,L0019,Regional
P000539,2025-01-20,96644757B93440982531475,Anglo-Arabe,F,Loisir,72.31,C0157,L0020,Regional
P000540,2025-08-28,96644757B53703826618026,Arabe-Barbe,F,Senior,63.4,C0350,L0005,Qualification
P000541,2025-12-12,96644757B54259280648674,Pur-Sang Arabe,Femelle,Loisir,84.09,C0243,L0011,National
P000542,2025-11-06,96644757B30309850889145,Pur-Sang Arabe,Femelle,Senior,60.81,C0313,L0033,Regional
P000543,2025-05-24,96644757B698999344864,Arabe-Barbe,M,Senior,58.17,C0371,L0036,Regional
P000544,2025-02-07,96644757B25654465299878,Pur-Sang Arabe,Female,Junior,77.34,C0355,L0013,Qualification
P000545,2025-12-04,96644757B46616002618727,Arabe-Barbe,Female,Elite,76.09,C0122,L0032,National
P000546,2025-12-03,96644757B10773066300421,Arabe-Barbe,M,Junior,76.46,C0378,L0046,National
P000547,2025-07-31,96644757B89687162507810,Anglo-Arabe,M,Senior,72.2,C0271,L0018,Regional
P000548,2025-12-24,96644757B9718685225615,Pur-Sang Arabe,M,Senior,66.74,C0465,L0026,Qualification
P000549,2025-01-02,96644757B53695376753874,Anglo-Arabe,Male,Senior,79.97,C0330,L0028,Qualification
P000550,2025-08-14,96644757B18768670389586,Arabe-Barbe,Femelle,Senior,68.02,C0446,L0038,National
P000551,2025-01-15,96644757B53695376753874,Barbe,Male,Junior,67.23,C0489,L0028,Regional
P000552,2025-12-08,96644757B71822601453569,Pur-Sang Arabe,Female,Senior,65.96,C0497,L0056,National
P000553,2025-09-06,96644757B25874170222857,Anglo-Arabe,F,Loisir,89.92,C0372,L0025,Qualification
P000554,2025-11-30,96644757B30309850889145,Anglo-Arabe,F,Junior,52.11,C0299,L0033,National
P000555,2025-07-25,96644757B15248572972708,Pur-Sang Arabe,F,Senior,77.24,C0059,L0029,Qualification
P000556,2025-01-31,96644757B54306876372793,Barbe,Male,Senior,57.59,C0193,L0014,National
P000557,2025-01-10,96644757B21390270390615,Arabe-Barbe,F,Senior,71.81,C0238,L0052,Regional
P000558,2025-05-03,96644757B89687162507810,Barbe,Male,Elite,63.79,C0390,L0018,Regional
P000559,2025-09-29,96644757B34372354169334,Arabe-Barbe,M,Junior,53.82,C0294,L0023,Qualification
P000560,2025-02-25,96644757B39685617616684,Pur-Sang Arabe,Female,Senior,77.8,C0220,L0060,Regional
P000561,2025-11-08,96644757B69656421663665,Arabe-Barbe,Male,Elite,63.8,C0074,L0072,Regional
P000562,2025-03-29,96644757B63064605054668,Arabe,Male,Senior,50.88,C0358,L0051,National
P000563,2025-07-01,96644757B36967765471663,Barbe,Male,Loisir,81.97,C0216,L0069,Regional
P000564,2025-03-16,96644757B60043813814440,Barbe,Female,Loisir,87.48,C0019,L0065,Qualification
P000565,2025-06-20,96644757B99662254658575,Pur-Sang Arabe,Femelle,Junior,85.56,C0142,L0037,Regional
P000566,2025-06-15,96644757B70524131405695,Pur-Sang Arabe,F,Senior,79.07,C0439,L0058,Regional
P000567,2025-01-02,96644757B25874170222857,Arabe-Barbe,Male,Junior,70.18,C0060,L0025,Regional
P000568,2025-07-27,96644757B63187791317705,Arabe,Male,Junior,86.13,C0203,L0035,National
P000569,2025-10-15,96644757B2759448404756,Anglo-Arabe,Female,Senior,90.05,C0256,L0041,National
P000570,2025-12-08,96644757B26045285741175,Arabe-Barbe,F,Senior,79.58,C0042,L0073,Regional
P000571,2025-05-01,96644757B90795389022281,Anglo-Arabe,Male,Senior,63.34,C0083,L0064,Regional
P000572,2025-11-18,96644757B99662254658575,Pur-Sang Arabe,Femelle,Senior,72.67,C0470,L0037,Regional
P000573,2025-11-17,96644757B81090244987905,Arabe-Barbe,Female,Senior,77.43,C0295,L0049,National
P000574,2025-12-27,96644757B9799798831472,Barbe,M,Loisir,50.33,C0105,L0016,Qualification
P000575,2025-05-17,96644757B64717664824106,Arabe-Barbe,F,Loisir,70.64,C0085,L0061,National
P000576,2025-11-07,96644757B80339347175881,Arabe-Barbe,F,Junior,95.36,C0213,L0042,Regional
P000577,2025-07-26,96644757B41522516415054,Anglo-Arabe,F,Elite,79.35,C0362,L0040,National
P000578,2025-01-22,96644757B70524131405695,Pur-Sang Arabe,Male,Senior,90.22,C0365,L0058,Regional
P000579,2025-04-09,96644757B62254917052717,Arabe,Male,Elite,73.5,C0098,L0048,Regional
P000580,2025-09-03,96644757B51161748863193,Anglo-Arabe,Female,Senior,66.36,C0363,L0006,Regional
P000581,2025-02-28,96644757B99920267922653,Arabe,Female,Loisir,72.77,C0448,L0022,Regional
P000582,2025-06-08,96644757B54306876372793,Barbe,Female,Junior,66.22,C0113,L0014,Regional
P000583,2025-10-10,96644757B71822601453569,Arabe,Femelle,Senior,59.45,C0014,L0056,National
P000584,2025-02-24,96644757B64432809888793,Pur-Sang Arabe,Female,Loisir,85.91,C0479,L0003,Regional
P000585,2025-07-01,96644757B9799798831472,Barbe,Femelle,Junior,82.15,C0261,L0016,National
P000586,2025-03-20,96644757B91545835536411,Barbe,M,Junior,61.44,C0388,L0045,Qualification
P000587,2025-07-15,96644757B52871738396395,Arabe,Femelle,Elite,76.31,C0160,L0053,National
P000588,2025-03-29,96644757B18768670389586,Arabe-Barbe,M,Elite,67.61,C0150,L0038,Regional
P000589,2025-12-19,96644757B60043813814440,Barbe,Male,Elite,76.53,C0113,L0065,National
P000590,2025-01-28,96644757B36967765471663,Anglo-Arabe,Femelle,Elite,78.18,C0109,L0069,Regional
P000591,2025-12-18,96644757B23117375948520,Pur-Sang Arabe,F,Elite,78.38,C0236,L0010,Regional
P000592,2025-10-17,96644757B69656421663665,Arabe,Female,Junior,68.43,C0053,L0072,Regional
P000593,2025-11-09,96644757B40957387644980,Pur-Sang Arabe,F,Elite,87.72,C0421,L0047,Qualification
P000594,2025-11-07,96644757B62254917052717,Arabe-Barbe,Femelle,Elite,74.76,C0256,L0048,Qualification
P000595,2025-03-10,96644757B35891480133263,Barbe,M,Loisir,76.29,C0457,L0008,Qualification
P000596,2025-12-06,96644757B40957387644980,Pur-Sang Arabe,Female,Junior,65.28,C0251,L0047,National
P000597,2025-08-05,96644757B21870556317795,Arabe-Barbe,Female,Junior,91.18,C0152,L0055,National
P000598,2025-12-18,96644757B53936679900609,Arabe-Barbe,M,Elite,76.39,C0257,L0044,Qualification
P000599,2025-11-17,96644757B26550498921337,Arabe-Barbe,F,Senior,78.51,C0077,L0007,Qualification
P000600,2025-07-31,96644757B41522516415054,Anglo-Arabe,Female,Junior,56.87,C0412,L0040,Regional
P000601,2025-05-17,96644757B25593504689486,Arabe,F,Loisir,58.95,C0360,L0071,Qualification
P000602,2025-02-12,96644757B21870556317795,Barbe,Female,Senior,81.97,C0074,L0055,Qualification
P000603,2025-02-06,96644757B54259280648674,Arabe-Barbe,Femelle,Senior,76.51,C0291,L0011,National
P000604,2025-05-23,96644757B69656421663665,Barbe,Male,Junior,48.46,C0269,L0072,Regional
P000605,2025-10-24,96644757B69656421663665,Arabe,Femelle,Junior,77.98,C0101,L0072,Regional
P000606,2025-07-04,96644757B25654465299878,Anglo-Arabe,Femelle,Elite,65.76,C0061,L0013,National
P000607,2025-06-25,96644757B64717664824106,Pur-Sang Arabe,F,Senior,80.06,C0380,L0061,Regional
P000608,2025-03-31,96644757B52167870329218,Arabe-Barbe,F,Junior,76.55,C0132,L0031,Regional
P000609,2025-07-26,96644757B91545835536411,Arabe,Femelle,Senior,73.4,C0259,L0045,National
P000610,2025-08-21,96644757B36466177595872,Arabe,Femelle,Junior,80.35,C0124,L0034,Qualification
P000611,2025-12-25,96644757B4563753155162,Arabe-Barbe,M,Junior,59.43,C0327,L0059,Qualification
P000612,2025-09-24,96644757B78111329468616,Arabe,Male,Senior,61.5,C0025,L0075,National
P000613,2025-08-10,96644757B39685617616684,Arabe-Barbe,Male,Senior,71.94,C0180,L0060,Regional
P000614,2025-11-29,96644757B6720908192283,Arabe-Barbe,Male,Junior,78.7,C0273,L0070,Regional
P000615,2025-06-05,96644757B25593504689486,Anglo-Arabe,Male,Senior,53.86,C0220,L0071,National
P000616,2025-12-08,96644757B26550498921337,Barbe,Female,Senior,54.7,C0306,L0007,Regional
P000617,2025-05-16,96644757B93440982531475,Pur-Sang Arabe,Femelle,Senior,79.09,C0090,L0020,National
P000618,2025-02-16,96644757B21870556317795,Arabe,M,Junior,63.56,C0221,L0055,Qualification
P000619,2025-06-02,96644757B91545835536411,Arabe,Femelle,Junior,67.43,C0378,L0045,National
P000620,2025-02-16,96644757B12662883146655,Arabe-Barbe,M,Junior,55.25,C0167,L0004,National
P000621,2025-02-13,96644757B35891480133263,Barbe,Male,Senior,63.26,C0079,L0008,National
P000622,2025-11-18,96644757B41522516415054,Anglo-Arabe,F,Elite,72.88,C0424,L0040,Qualification
P000623,2025-10-18,96644757B40957387644980,Barbe,M,Junior,82.92,C0389,L0047,Regional
P000624,2025-03-22,96644757B25654465299878,Arabe,Male,Elite,63.49,C0340,L0013,Regional
P000625,2025-11-02,96644757B25654465299878,Anglo-Arabe,Female,Elite,87.77,C0399,L0013,Regional
P000626,2025-01-26,96644757B23117375948520,Arabe-Barbe,Femelle,Junior,61.6,C0389,L0010,National
P000627,2025-04-14,96644757B27397508075839,Arabe-Barbe,Femelle,Junior,62.17,C0373,L0043,Regional
P000628,2025-09-15,96644757B24539393832458,Arabe,F,Junior,87.29,C0255,L0001,National
P000629,2025-04-21,96644757B27397508075839,Arabe,Femelle,Junior,71.12,C0010,L0043,National
P000630,2025-09-24,96644757B698999344864,Arabe-Barbe,M,Senior,68.87,C0298,L0036,Regional
P000631,2025-11-16,96644757B63187791317705,Arabe-Barbe,Female,Junior,71.3,C0137,L0035,National
P000632,2025-01-25,96644757B63064605054668,Anglo-Arabe,Femelle,Loisir,85.4,C0386,L0051,Regional
P000633,2025-01-09,96644757B41522516415054,Arabe-Barbe,Female,Senior,87.61,C0234,L0040,Regional
P000634,2025-12-10,96644757B21870556317795,Arabe-Barbe,Male,Elite,61.42,C0452,L0055,Regional
P000635,2025-07-09,96644757B70524131405695,Arabe,F,Elite,75.06,C0298,L0058,Regional
P000636,2025-07-04,96644757B6720908192283,Arabe,F,Senior,71.33,C0275,L0070,Qualification
P000637,2025-06-19,96644757B39685617616684,Arabe,Male,Loisir,64.04,C0459,L0060,Qualification
P000638,2025-06-08,96644757B89345886069248,Anglo-Arabe,M,Loisir,67.97,C0238,L0039,National
P000639,2025-09-09,96644757B99662254658575,Pur-Sang Arabe,Female,Senior,70.71,C0188,L0037,National
P000640,2025-07-31,96644757B89687162507810,Arabe,Male,Junior,79.53,C0186,L0018,National
P000641,2025-03-01,96644757B91545835536411,Pur-Sang Arabe,Female,Senior,83.42,C0437,L0045,Qualification
P000642,2025-08-17,96644757B54259280648674,Pur-Sang Arabe,Female,Junior,70.35,C0378,L0011,National
P000643,2025-09-01,96644757B6720908192283,Arabe,Femelle,Senior,68.29,C0082,L0070,Regional
P000644,2025-02-11,96644757B90795389022281,Anglo-Arabe,Male,Senior,79.4,C0246,L0064,National
P000645,2025-05-18,96644757B48127384361052,Arabe,M,Senior,65.1,C0186,L0009,Qualification
P000646,2025-10-16,96644757B4563753155162,Arabe-Barbe,Femelle,Elite,74.29,C0323,L0059,Regional
P000647,2025-08-14,96644757B48127384361052,Arabe,M,Senior,70.07,C0027,L0009,Regional
P000648,2025-02-19,96644757B21870556317795,Barbe,M,Senior,59.89,C0357,L0055,Regional
P000649,2025-01-15,96644757B26550498921337,Anglo-Arabe,F,Senior,61.82,C0371,L0007,Regional
P000650,2025-08-01,96644757B99662254658575,Arabe,F,Elite,85.13,C0114,L0037,National
P000651,2025-06-18,96644757B50122508033550,Pur-Sang Arabe,Female,Elite,69.64,C0076,L0050,Regional
P000652,2025-12-17,96644757B21870556317795,Anglo-Arabe,M,Junior,85.99,C0314,L0055,Qualification
P000653,2025-07-10,96644757B46616002618727,Anglo-Arabe,M,Elite,64.64,C0129,L0032,National
P000654,2025-12-06,96644757B6720908192283,Anglo-Arabe,Femelle,Junior,73.34,C0470,L0070,Regional
P000655,2025-03-20,96644757B4563753155162,Arabe,Male,Elite,92.33,C0387,L0059,Qualification
P000656,2025-06-13,96644757B9799798831472,Anglo-Arabe,Female,Senior,57.85,C0477,L0016,National
P000657,2025-02-20,96644757B63064605054668,Arabe-Barbe,Femelle,Senior,52.89,C0267,L0051,National
P000658,2025-07-29,96644757B21870556317795,Arabe-Barbe,F,Elite,82.45,C0469,L0055,Regional
P000659,2025-03-10,96644757B9718685225615,Arabe,Male,Loisir,61.68,C0007,L0026,Qualification
P000660,2025-06-29,96644757B71822601453569,Arabe,M,Elite,68.88,C0145,L0056,Regional
P000661,2025-05-06,96644757B88930410593624,Arabe,Female,Senior,63.75,C0002,L0068,Regional
P000662,2025-03-09,96644757B84561517472973,Arabe-Barbe,Femelle,Elite,72.68,C0339,L0062,Regional
P000663,2025-02-05,96644757B70524131405695,Pur-Sang Arabe,F,Senior,65.98,C0255,L0058,Regional
P000664,2025-07-06,96644757B62254917052717,Anglo-Arabe,F,Elite,69.87,C0144,L0048,National
P000665,2025-12-12,96644757B56432502406176,Anglo-Arabe,F,Loisir,74.94,C0153,L0021,Regional
P000666,2025-03-14,96644757B39685617616684,Arabe-Barbe,Female,Junior,63.82,C0322,L0060,National
P000667,2025-05-28,96644757B53695376753874,Barbe,F,Junior,65.1,C0090,L0028,Regional
P000668,2025-03-23,96644757B41522516415054,Arabe-Barbe,F,Senior,69.48,C0257,L0040,Qualification
P000669,2025-10-23,96644757B75888110493475,Barbe,Femelle,Junior,56.25,C0307,L0024,Regional
P000670,2025-06-01,96644757B75888110493475,Arabe-Barbe,M,Senior,66.31,C0120,L0024,Qualification
P000671,2025-12-22,96644757B42104761334354,Arabe-Barbe,Female,Junior,74.52,C0114,L0012,Qualification
P000672,2025-03-31,96644757B26045285741175,Arabe-Barbe,F,Senior,64.25,C0177,L0073,Regional
P000673,2025-01-30,96644757B42104761334354,Arabe,M,Junior,70.62,C0296,L0012,National
P000674,2025-08-01,96644757B26550498921337,Anglo-Arabe,Female,Senior,71.18,C0127,L0007,Regional
P000675,2025-08-26,96644757B25593504689486,Arabe,F,Elite,60.62,C0190,L0071,Qualification
P000676,2025-12-28,96644757B80339347175881,Barbe,M,Senior,79.54,C0272,L0042,National
P000677,2025-11-15,96644757B30309850889145,Pur-Sang Arabe,Male,Senior,83.82,C0094,L0033,Regional
P000678,2025-11-19,96644757B71822601453569,Pur-Sang Arabe,Female,Elite,64.44,C0284,L0056,Regional
P000679,2025-08-20,96644757B15248572972708,Barbe,F,Loisir,77.09,C0069,L0029,Regional
P000680,2025-05-12,96644757B23117375948520,Pur-Sang Arabe,Femelle,Senior,66.04,C0072,L0010,Qualification
P000681,2025-06-06,96644757B21870556317795,Anglo-Arabe,Female,Junior,73.24,C0119,L0055,National
P000682,2025-02-18,96644757B54306876372793,Arabe,Male,Junior,90.04,C0143,L0014,Regional
P000683,2025-06-07,96644757B80339347175881,Arabe,Male,Loisir,77.72,C0015,L0042,Regional
P000684,2025-05-14,96644757B69656421663665,Pur-Sang Arabe,Male,Elite,49.87,C0480,L0072,Regional
P000685,2025-01-14,96644757B25593504689486,Barbe,Male,Elite,71.71,C0154,L0071,National
P000686,2025-03-16,96644757B53695376753874,Arabe-Barbe,Female,Elite,84.42,C0402,L0028,Regional
P000687,2025-07-15,96644757B4563753155162,Arabe-Barbe,M,Junior,66.19,C0451,L0059,Regional
P000688,2025-05-15,96644757B10773066300421,Anglo-Arabe,M,Senior,81.61,C0400,L0046,Qualification
P000689,2025-12-29,96644757B698999344864,Barbe,M,Elite,67.49,C0415,L0036,Regional
P000690,2025-06-24,96644757B54259280648674,Anglo-Arabe,M,Loisir,58.78,C0050,L0011,National
P000691,2025-12-16,96644757B15248572972708,Arabe-Barbe,F,Junior,73.65,C0186,L0029,Regional
P000692,2025-08-30,96644757B81090244987905,Arabe,Male,Senior,55.47,C0373,L0049,Regional
P000693,2025-01-15,96644757B5863178934624,Arabe,F,Junior,70.09,C0288,L0074,National
P000694,2025-03-16,96644757B24539393832458,Barbe,Female,Loisir,84.78,C0003,L0001,Regional
P000695,2025-09-15,96644757B90056368806308,Arabe,Female,Senior,50.94,C0284,L0054,Regional
P000696,2025-07-18,96644757B90795389022281,Pur-Sang Arabe,Male,Elite,59.96,C0402,L0064,Qualification
P000697,2025-04-21,96644757B69656421663665,Anglo-Arabe,F,Junior,57.28,C0414,L0072,Qualification
P000698,2025-07-10,96644757B46616002618727,Arabe,Female,Elite,69.15,C0192,L0032,National
P000699,2025-11-26,96644757B48127384361052,Arabe,Femelle,Elite,67.29,C0118,L0009,Regional
P000700,2025-05-22,96644757B56432502406176,Arabe,F,Senior,84.44,C0155,L0021,Regional
P000701,2025-01-17,96644757B90795389022281,Barbe,Femelle,Loisir,82.3,C0148,L0064,Regional
P000702,2025-04-24,96644757B99361415702964,Arabe,Female,Loisir,78.33,C0173,L0066,Qualification
P000703,2025-12-08,96644757B62254917052717,Anglo-Arabe,Male,Loisir,73.13,C0151,L0048,Qualification
P000704,2025-10-06,96644757B23117375948520,Arabe-Barbe,Femelle,Senior,72.37,C0229,L0010,National
P000705,2025-11-02,96644757B23117375948520,Arabe-Barbe,Male,Elite,59.82,C0021,L0010,Qualification
P000706,2025-11-29,96644757B698999344864,Anglo-Arabe,M,Senior,82.96,C0138,L0036,Regional
P000707,2025-02-12,96644757B91545835536411,Barbe,Male,Senior,60.23,C0158,L0045,National
P000708,2025-04-14,96644757B64432809888793,Barbe,Male,Senior,81.61,C0077,L0003,Regional
P000709,2025-01-22,96644757B21390270390615,Arabe,M,Elite,84.76,C0439,L0052,Regional
P000710,2025-01-02,96644757B2759448404756,Anglo-Arabe,M,Junior,75.34,C0338,L0041,Qualification
P000711,2025-11-01,96644757B24539393832458,Pur-Sang Arabe,F,Senior,70.15,C0456,L0001,Qualification
P000712,2025-12-08,96644757B35891480133263,Pur-Sang Arabe,M,Junior,74.05,C0281,L0008,Regional
P000713,2025-02-26,96644757B63187791317705,Barbe,F,Senior,44.23,C0055,L0035,Regional
P000714,2025-09-21,96644757B21870556317795,Anglo-Arabe,M,Junior,72.61,C0452,L0055,National
P000715,2025-07-15,96644757B84561517472973,Barbe,M,Junior,68.86,C0229,L0062,Regional
P000716,2025-01-26,96644757B30309850889145,Barbe,M,Elite,68.96,C0342,L0033,National
P000717,2025-12-01,96644757B34372354169334,Anglo-Arabe,M,Senior,81.73,C0191,L0023,National
P000718,2025-11-15,96644757B26045285741175,Anglo-Arabe,Femelle,Junior,67.49,C0247,L0073,Regional
P000719,2025-07-27,96644757B63187791317705,Arabe,Femelle,Elite,61.45,C0245,L0035,Regional
P000720,2025-09-16,96644757B75888110493475,Arabe-Barbe,Female,Loisir,69.12,C0143,L0024,Regional
P000721,2025-05-25,96644757B36466177595872,Anglo-Arabe,Female,Loisir,69.23,C0277,L0034,Qualification
P000722,2025-10-17,96644757B24539393832458,Barbe,Femelle,Loisir,73.06,C0367,L0001,Regional
P000723,2025-06-12,96644757B34372354169334,Arabe-Barbe,Female,Loisir,76.29,C0011,L0023,National
P000724,2025-12-28,96644757B89345886069248,Anglo-Arabe,Female,Senior,78.92,C0066,L0039,Regional
P000725,2025-01-24,96644757B36967765471663,Anglo-Arabe,Femelle,Loisir,62.71,C0421,L0069,National
P000726,2025-03-04,96644757B71822601453569,Barbe,M,Loisir,70.84,C0285,L0056,Regional
P000727,2025-12-20,96644757B4563753155162,Anglo-Arabe,Femelle,Senior,81.3,C0486,L0059,Regional
P000728,2025-04-16,96644757B2759448404756,Pur-Sang Arabe,Femelle,Loisir,55.88,C0302,L0041,National
P000729,2025-04-24,96644757B48127384361052,Arabe-Barbe,Female,Elite,72.75,C0327,L0009,National
P000730,2025-10-16,96644757B8060198419886,Pur-Sang Arabe,F,Elite,66.44,C0449,L0030,Regional
P000731,2025-03-11,96644757B78111329468616,Pur-Sang Arabe,M,Loisir,67.72,C0330,L0075,Regional
P000732,2025-07-07,96644757B12662883146655,Anglo-Arabe,M,Senior,64.77,C0165,L0004,Qualification
P000733,2025-04-15,96644757B99361415702964,Arabe,Male,Senior,71.68,C0264,L0066,Regional
P000734,2025-03-14,96644757B21390270390615,Anglo-Arabe,Femelle,Elite,91.31,C0118,L0052,Regional
P000735,2025-12-18,96644757B99920267922653,Arabe-Barbe,Female,Elite,56.31,C0167,L0022,Regional
P000736,2025-03-14,96644757B4563753155162,Pur-Sang Arabe,Female,Loisir,56.71,C0340,L0059,Regional
P000737,2025-02-04,96644757B83322507681707,Arabe-Barbe,M,Loisir,58.47,C0075,L0063,National
P000738,2025-09-03,96644757B12662883146655,Anglo-Arabe,M,Elite,91.1,C0336,L0004,National
P000739,2025-11-13,96644757B35891480133263,Pur-Sang Arabe,Male,Loisir,65.43,C0292,L0008,National
P000740,2025-02-16,96644757B50122508033550,Barbe,Male,Junior,70.95,C0154,L0050,National
P000741,2025-09-16,96644757B78111329468616,Anglo-Arabe,F,Loisir,67.4,C0023,L0075,Regional
P000742,2025-07-17,96644757B21316479060137,Anglo-Arabe,Femelle,Junior,58.44,C0352,L0002,National
P000743,2025-10-30,96644757B50122508033550,Pur-Sang Arabe,M,Senior,68.85,C0412,L0050,Regional
P000744,2025-02-16,96644757B54259280648674,Pur-Sang Arabe,Female,Junior,98.0,C0365,L0011,Regional
P000745,2025-12-23,96644757B81090244987905,Anglo-Arabe,Female,Senior,86.96,C0211,L0049,National
P000746,2025-08-14,96644757B40957387644980,Barbe,F,Senior,65.08,C0327,L0047,Regional
P000747,2025-11-04,96644757B26550498921337,Arabe-Barbe,Female,Junior,77.86,C0207,L0007,Regional
P000748,2025-05-13,96644757B21390270390615,Arabe,M,Elite,64.58,C0179,L0052,Regional
P000749,2025-12-11,96644757B88930410593624,Barbe,F,Elite,51.85,C0164,L0068,National
P000750,2025-08-17,96644757B60043813814440,Barbe,Female,Junior,83.33,C0106,L0065,Regional
P000751,2025-02-16,96644757B64432809888793,Arabe-Barbe,Male,Elite,84.85,C0484,L0003,National
P000752,2025-12-03,96644757B85287588144355,Pur-Sang Arabe,Female,Junior,84.1,C0333,L0019,National
P000753,2025-10-18,96644757B85287588144355,Pur-Sang Arabe,Male,Junior,68.94,C0088,L0019,National
P000754,2025-04-20,96644757B36466177595872,Pur-Sang Arabe,Femelle,Junior,66.89,C0432,L0034,Regional
P000755,2025-07-19,96644757B54259280648674,Barbe,F,Senior,81.14,C0076,L0011,Qualification
P000756,2025-05-22,96644757B60043813814440,Barbe,M,Elite,77.05,C0297,L0065,Regional
P000757,2025-07-18,96644757B4563753155162,Arabe,Femelle,Senior,64.47,C0083,L0059,Qualification
P000758,2025-12-19,96644757B64717664824106,Arabe,F,Loisir,49.76,C0181,L0061,National
P000759,2025-11-25,96644757B91342156363380,Arabe-Barbe,F,Senior,73.54,C0329,L0015,Regional
P000760,2025-03-20,96644757B21316479060137,Arabe-Barbe,Male,Elite,78.67,C0499,L0002,National
P000761,2025-12-21,96644757B36967765471663,Anglo-Arabe,M,Loisir,61.6,C0495,L0069,National
P000762,2025-06-09,96644757B99920267922653,Arabe,Femelle,Senior,75.34,C0447,L0022,Regional
P000763,2025-09-15,96644757B50122508033550,Arabe,Female,Junior,74.52,C0118,L0050,Regional
